station,district,datetime,timestamp_epoch,rainfall_t0,rainfall_t_minus_1,rainfall_t_minus_2,rainfall_t_minus_3,rainfall_t_minus_4,rainfall_rolling_3h_mean,rainfall_rolling_6h_sum,rainfall_delta_1h,rainfall_acceleration,latitude,longitude,district_flooded_area_pct,district_permanent_water_pct,district_mean_flood_duration,district_hist_event_density,live_report_corroboration,volunteer_verified_weight,target_risk_15m,target_risk_30m,target_risk_60m,target_class_15m,target_class_30m,target_class_60m
LBP Quarters Campus,erode,2026-01-08 18:00,1767895200.0,0.5,1.0,5.5,0.5,1.5,2.3333333333333335,11.0,-0.5,4.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.10783440145333333,0.11417264928,0,0,0
LBP Quarters Campus,erode,2026-01-08 19:00,1767898800.0,0.5,0.5,1.0,5.5,0.5,0.6666666666666666,9.5,0.0,0.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.04048202050095238,0.10217264928,0,0,0
LBP Quarters Campus,erode,2026-01-08 20:00,1767902400.0,1.0,0.5,0.5,1.0,5.5,0.6666666666666666,9.0,0.5,0.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.04296282029333333,0.04048202050095238,0.09817264928,0,0,0
LBP Quarters Campus,erode,2026-01-08 22:00,1767909600.0,2.0,1.0,0.5,0.5,1.0,1.1666666666666667,10.5,1.0,0.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.06629615362666666,0.04976773478666666,0.11017264928,0,0,0
LBP Quarters Campus,erode,2026-01-08 23:00,1767913200.0,5.5,2.0,1.0,0.5,0.5,2.8333333333333335,10.5,3.5,2.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.15671282029333333,0.10152011573904762,0.11017264928,0,0,0
LBP Quarters Campus,erode,2026-01-09 00:00,1767916800.0,1.0,5.5,2.0,1.0,0.5,2.8333333333333335,10.5,-4.5,-8.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.03712948696,0.07552011573904761,0.11017264928,0,0,0
LBP Quarters Campus,erode,2026-01-09 01:00,1767920400.0,1.5,1.0,5.5,2.0,1.0,2.6666666666666665,11.5,0.5,5.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.05171282029333333,0.12442487764380954,0.11817264927999999,0,0,0
LBP Quarters Campus,erode,2026-01-09 02:00,1767924000.0,0.5,1.5,1.0,5.5,2.0,1.0,11.5,-1.0,-1.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.041472496691428565,0.11817264927999999,0,0,0
LBP Quarters Campus,erode,2026-01-09 05:00,1767934800.0,1.5,0.5,1.5,1.0,5.5,1.1666666666666667,12.0,1.0,2.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.057546153626666666,0.06536773478666666,0.12217264928,0,0,0
LBP Quarters Campus,erode,2026-01-09 13:00,1767963600.0,1.5,1.5,0.5,1.5,1.0,1.1666666666666667,11.5,0.0,-1.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.04587948695999999,0.04456773478666666,0.11817264927999999,0,0,0
LBP Quarters Campus,erode,2026-01-09 14:00,1767967200.0,0.5,1.5,1.5,0.5,1.5,1.1666666666666667,6.5,-1.0,-1.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.04456773478666666,0.07817264928,0,0,0
LBP Quarters Campus,erode,2026-01-09 15:00,1767970800.0,0.5,0.5,1.5,1.5,0.5,0.8333333333333334,6.0,0.0,1.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.048777258596190476,0.07417264928,0,0,0
Kamudhi -ARG,ramanathapuram,2026-01-10 02:30,1768012200.0,0.5,0.5,0.5,0.5,0.5,0.5,2.5,0.0,0.0,9.412778,78.363056,1.978467591,1.290662657,7.0,15,0.0,0.0,0.06810402772999999,0.07853207997071428,0.09913870364,0,0,0
Kamudhi -ARG,ramanathapuram,2026-01-10 02:40,1768012800.0,0.5,0.5,0.5,0.5,0.5,0.5,3.0,0.0,0.0,9.412778,78.363056,1.978467591,1.290662657,7.0,15,0.0,0.0,0.06810402772999999,0.07853207997071428,0.10313870364,0,0,0
Kamudhi -ARG,ramanathapuram,2026-01-10 02:50,1768013400.0,1.0,0.5,0.5,0.5,0.5,0.6666666666666666,3.5,0.5,0.5,9.412778,78.363056,1.978467591,1.290662657,7.0,15,0.0,0.0,0.08268736106333333,0.08682731806595237,0.10713870364,0,0,0
Kamudhi -ARG,ramanathapuram,2026-01-10 03:00,1768014000.0,1.0,1.0,0.5,0.5,0.5,0.8333333333333334,4.0,0.0,-0.5,9.412778,78.363056,1.978467591,1.290662657,7.0,15,0.0,0.0,0.07685402773,0.08472255616119047,0.11113870364,0,0,0
Pudukkottai,pudukkottai,2026-01-10 05:00,1768021200.0,0.5,0.5,1.0,2.5,1.0,0.6666666666666666,5.5,0.0,0.5,10.37694444,78.81777778,0.613684296,0.085746267,6.0,18,0.0,0.0,0.02716052888,0.039059902740952376,0.06854737184,0,0,0
Peravoorani_1,thanjavur,2026-01-10 06:00,1768024800.0,0.5,0.5,0.5,1.0,2.0,0.5,4.5,0.0,0.0,10.288611,79.201667,6.262291183,0.139785443,9.0,36,0.0,0.0,0.19661873549000003,0.2284659056907143,0.28649164732,0,0,0
Pudukkottai,pudukkottai,2026-01-10 06:00,1768024800.0,0.5,0.5,0.5,1.0,2.5,0.5,6.0,0.0,0.0,10.37694444,78.81777778,0.613684296,0.085746267,6.0,18,0.0,0.0,0.02716052888,0.030764664645714285,0.07254737184,0,0,0
Peravoorani_1,thanjavur,2026-01-10 07:00,1768028400.0,2.0,0.5,0.5,0.5,1.0,1.0,6.5,1.5,1.5,10.288611,79.201667,6.262291183,0.139785443,9.0,36,0.0,0.0,0.24036873549000004,0.2533516199764286,0.30249164732,0,0,0
Aranthangi_1,pudukkottai,2026-01-10 07:00,1768028400.0,2.5,1.0,4.5,0.5,1.0,2.6666666666666665,9.5,1.5,5.0,10.16,79.004167,0.613684296,0.085746267,6.0,18,0.0,0.0,0.07966052888,0.12300275988380954,0.10054737184,0,0,0
Peravoorani_1,thanjavur,2026-01-10 08:00,1768032000.0,1.5,2.0,0.5,0.5,0.5,1.3333333333333333,6.0,-0.5,-2.0,10.288611,79.201667,6.262291183,0.139785443,9.0,36,0.0,0.0,0.21411873549000002,0.24394209616690476,0.29849164732,0,0,0
Aranthangi_1,pudukkottai,2026-01-10 08:00,1768032000.0,3.0,2.5,1.0,4.5,0.5,2.1666666666666665,12.5,0.5,-1.0,10.16,79.004167,0.613684296,0.085746267,6.0,18,0.0,0.0,0.07674386221333332,0.06171704559809524,0.12454737183999999,0,0,0
Pudukkottai,pudukkottai,2026-01-10 08:00,1768032000.0,0.5,0.5,0.5,0.5,1.0,0.5,5.5,0.0,0.0,10.37694444,78.81777778,0.613684296,0.085746267,6.0,18,0.0,0.0,0.02716052888,0.030764664645714285,0.06854737184,0,0,0
Peravoorani_1,thanjavur,2026-01-10 09:00,1768035600.0,1.0,1.5,2.0,0.5,0.5,1.5,6.0,-0.5,0.0,10.288611,79.201667,6.262291183,0.139785443,9.0,36,0.0,0.0,0.20536873549,0.24703733426214286,0.29849164732,0,0,0
Aranthangi_1,pudukkottai,2026-01-10 09:00,1768035600.0,2.0,3.0,2.5,1.0,4.5,2.5,13.5,-1.0,-1.5,10.16,79.004167,0.613684296,0.085746267,6.0,18,0.0,0.0,0.053410528879999995,0.06790752178857143,0.13254737183999998,0,0,0
Grand Anicut,tiruchirappalli,2026-01-10 10:00,1768039200.0,1.0,3.0,6.5,2.0,0.5,3.5,13.0,-2.0,1.5,10.82861111,78.81805556,2.769716368,0.030082563,6.0,29,0.0,0.0,0.10059149104000001,0.17754007288,0.21478865472000003,0,0,0
Pattukottai_1,thanjavur,2026-01-10 11:00,1768042800.0,1.0,0.5,3.5,4.5,0.5,1.6666666666666667,10.0,0.5,3.5,10.426111,79.326111,6.262291183,0.139785443,9.0,36,0.0,0.0,0.21120206882333337,0.28653257235738094,0.33049164732,0,0,0
